[2026-04-08T23:00] equipment-check | green | 0 issue(s) | All equipment checks passed. WiFi RSSI OK — mean -39 dBm. Heap OK — min 226,164 
[2026-04-08T23:30] equipment-check | green | 0 issue(s) | All equipment checks passed. WiFi RSSI OK — mean -38 dBm. Heap OK — min 226,164 
[2026-04-09T00:00] equipment-check | green | 0 issue(s) | All equipment checks passed. WiFi RSSI OK — mean -38 dBm. Heap OK — min 226,164 
[call-toby] Telegram sent (warning): ESP32 post failures elevated (3) in last hour — WiFi instability likely.
[2026-04-09T00:30] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (3) in last hour — WiFi insta
[2026-04-09T01:00] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (3) in last hour — WiFi insta
[2026-04-09T01:30] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (3) in last hour — WiFi insta
[2026-04-09T02:00] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (3) in last hour — WiFi insta
[2026-04-09T02:30] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (3) in last hour — WiFi insta
[2026-04-09T03:00] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (3) in last hour — WiFi insta
[2026-04-09T03:30] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (4) in last hour — WiFi insta
[2026-04-09T04:00] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (4) in last hour — WiFi insta
[2026-04-09T04:30] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (4) in last hour — WiFi insta
[2026-04-09T05:00] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (4) in last hour — WiFi insta
[2026-04-09T05:30] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (4) in last hour — WiFi insta
[2026-04-09T06:00] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (4) in last hour — WiFi insta
[2026-04-09T06:30] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (4) in last hour — WiFi insta
[2026-04-09T07:00] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (4) in last hour — WiFi insta
[2026-04-09T07:30] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (5) in last hour — WiFi insta
[2026-04-09T08:00] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (5) in last hour — WiFi insta
[2026-04-09T08:30] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (5) in last hour — WiFi insta
[2026-04-09T09:00] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (5) in last hour — WiFi insta
[2026-04-09T09:30] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (5) in last hour — WiFi insta
[2026-04-09T10:00] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (5) in last hour — WiFi insta
[2026-04-09T10:30] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (5) in last hour — WiFi insta
